Rank,Previous Rank,Track Name,Artist Name,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Life Is Good (feat. Drake),Future,48,10365422,8.1%,https://www.youtube.com/watch?v=l0U7SxXHkPY
2,1,Body,Megan Thee Stallion,3,7539011,-23.8%,https://www.youtube.com/watch?v=7PBYGu4Az8s
3,,On Me,Lil Baby,1,7388356,,https://www.youtube.com/watch?v=ieTnO1Dvt-I
4,5,All I Want For Christmas Is You,Mariah Carey,36,7210684,21.3%,https://www.youtube.com/watch?v=yXQViqx6GMY
5,3,Dákiti,Bad Bunny,6,6486166,-16.9%,https://www.youtube.com/watch?v=TmKh7lAwnBI
6,4,HOLIDAY,Lil Nas X,4,6363650,-4.9%,https://www.youtube.com/watch?v=9vMLTcftlyI
7,,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey,1,5901039,,https://www.youtube.com/watch?v=G2bx3FzgJ6o
8,6,WAP (feat. Megan Thee Stallion),Cardi B,18,5597901,-4.9%,https://www.youtube.com/watch?v=hsm4poTWjMs
9,10,34+35,Ariana Grande,5,5413372,22.8%,https://www.youtube.com/watch?v=B6_iQvaIjXw
10,7,Said Sum (Remix) (feat. City Girls & DaBaby),Moneybagg Yo,24,5154889,2.5%,https://www.youtube.com/watch?v=UDRnXJXKX-A
11,13,Whoopty,C.J.,6,5148888,24.7%,https://www.youtube.com/watch?v=2xWkATdMQms
12,,Errbody,Lil Baby,1,4963360,,https://www.youtube.com/watch?v=pKtUpBjIl-g
13,,GIRL LIKE ME (Black Eyed Peas & Shakira),Black Eyed Peas,1,4849250,,https://www.youtube.com/watch?v=vMLk_T0PPbk
14,12,BICHOTA,Karol G,7,4641646,9.8%,https://www.youtube.com/watch?v=QaXhVryxVBk
15,8,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,23,4635365,3.2%,https://www.youtube.com/watch?v=Q9pjm4cNsfc
16,14,Took Her To The O,King Von,7,4389678,7.9%,https://www.youtube.com/watch?v=hzt31eJTGxo
17,11,Mood (feat. Iann Dior),24kGoldn,17,4320953,-0.6%,https://www.youtube.com/watch?v=GrAchTdepsU
18,28,Blinding Lights (Remix) (feat. Rosalía),The Weeknd,49,4282280,32.3%,https://www.youtube.com/watch?v=4NRXx6U8ABQ
19,9,positions,Ariana Grande,7,4270038,-3.2%,https://www.youtube.com/watch?v=tcYodQoapMg
20,16,ROCKSTAR (feat. Roddy Ricch),DaBaby,34,4143978,5.1%,https://www.youtube.com/watch?v=mxFstYSbBmc
21,15,Crazy Story,King Von,11,3954309,-1.5%,https://www.youtube.com/watch?v=g0v7Ow6Epog
